0,,0,,0,57949.1,38986.5,,0,
100,5.6656,527.5,32.4662,2719.1,58476.6,59167.2,-126.7319,0,0
200,5.4341,1084.9,36.34,6183.1,59034,59376.7,-61.9894,0,0
298.15,5.2373,1607.5,38.4686,9861.9,59556.6,59556.6,-40.6022,0,0
300,5.2347,1617.2,38.501,9933.1,59566.3,59559.4,-40.333,0,0
400,5.1347,2135.1,39.9917,13861.6,60084.3,59722.7,-29.4725,0,0
500,5.0808,2645.6,41.1311,17919.9,60594.8,59867.6,-22.9391,0,0
600,5.049,3152,42.0544,22080.6,61101.1,59996.4,-18.5735,0,0
700,5.0289,3655.8,42.8311,26325.9,61605,60111.2,-15.4488,0,0
800,5.0154,4158.6,43.501,30643.3,62107.1,60214.6,-13.101,0,0
900,5.0054,4659,44.0916,35023.6,62608.2,60304.6,-11.2719,0,0
1000,4.999,5159.3,44.6188,39459.6,63108.4,60395,-9.8065,0,0
1100,4.9934,5658.9,45.095,43945.7,63608,60415.1,-6.6058,0,0
1200,4.9898,6158.1,45.5294,48477.2,64107.2,60550.1,-7.604,0,0
1300,4.9867,6656.9,45.9288,53050.4,64606,60620.5,-6.7552,0,0
1400,4.9842,7155.4,46.2981,57661.9,65104.6,60687.1,-6.0269,0,0
1500,4.9823,7651.7,46.6419,62309.1,65602.9,60750.1,-5.3951,0,0
1600,4.9807,8151.9,46.9634,66989.6,66101,60809.7,-4.8416,0,0
1700,4.9795,8649.9,47.2653,71701.2,66599,60866.3,-4.3528,0,0
1800,4.9786,9147.8,47.5494,76442.1,67096.9,60919.8,-3.9179,0,0
1900,4.978,9645.6,47.8191,81210.6,67594.8,60970.5,-3.5285,0,0
2000,4.9778,10143.4,48.0744,86005.4,68092.5,61018.3,-3.1777,0,0
2100,4.978,10641.2,48.3173,90825.1,68590.3,61063.3,-2.8601,0,0
2200,4.9786,11139,48.5489,95668.5,69088.2,61105.5,-2.5712,0,0
2300,4.9797,11636.9,48.7702,100534.5,69586.1,61145.1,-2.3072,0,0
2400,4.9814,12135,48.9822,105422.2,70034.1,61182.2,-2.065,0,0
2500,4.9836,12633.2,49.1856,110330.7,70582.4,61216.7,-1.8421,0,0
2600,4.9864,13131.7,49.3811,115259.1,71080.9,61248.9,-1.6362,0,0
2700,4.9899,13630.5,49.5693,120206.6,71579.7,61278.8,-1.4455,0,0
2800,4.994,14129.7,49.7509,125172.7,72078.9,61306.5,-1.2683,0,0
2900,4.9988,14629.4,49.9262,130156.6,72578.5,61332.2,-1.1033,0,0
3000,5.0043,15129.5,50.0958,135157.8,73078.6,61356,-0.9492,0,0
3100,5.0104,15630.2,50.2599,140175.6,73579.4,61318,-0.805,0,0
3200,5.0172,16131.6,50.4191,145209.6,74080.8,61398.4,-0.6698,0,0
3300,5.0246,16633.7,50.5736,150259.3,74582.8,61417.3,-0.5427,0,0
3400,5.0327,17136.5,50.7237,155324.2,75045.7,61434.9,-0.423,0,0
3500,5.0413,17640.2,50.8697,160403.9,75589.4,61451.3,-0.3102,0,0
3600,5.0504,18144.8,51.0114,165498,76094,61466.6,-0.2036,0,0
3700,5.06,18650.3,51.1504,170606.1,76599.5,61481,-0.1027,0,0
3800,5.0701,19156.8,51.2855,175727.9,77106,61494.5,-0.0072,0,0
3900,5.0806,19664.4,51.4173,180863.1,77613.5,61507.4,0.0835,0,0
4000,5.0915,20173,51.5461,186011.3,78122.1,61519.6,0.1697,0,0
4100,5.1027,20682.7,51.6719,191172.2,78631.8,61531.4,0.2517,0,0
4200,5.1141,21193.5,51.795,196345.6,79142.7,61542.7,0.3298,0,0
4300,5.1258,21705.5,51.9155,201531.1,79654.7,61553.8,0.4043,0,0
4400,5.1376,22218.7,52.0335,206728.6,80167.8,61564.6,0.4754,0,0
4500,5.1496,22733,52.1491,211937.8,80682.2,61575.2,0.5433,0,0
4600,5.1617,23248.6,52.2424,217158.3,81197.6,61585.8,0.6083,0,0
4700,5.1738,23765.4,52.3735,222390.2,81714.5,61596.3,0.6706,0,0
4800,5.186,24283.4,52.4826,227633,82232.5,61606.9,0.7303,0,0
4900,5.1981,24802.6,52.5896,232886.6,82751.7,61617.5,0.7875,0,0
5000,5.2102,25323,52.6946,238150.8,83272.1,61628.1,0.8425,0,0
5100,5.2223,25844.6,52.7981,243425.5,83793.8,61639,0.8953,0,0
5200,5.2342,26367.4,52.899,248710.4,84316.6,61649.9,0.9461,0,0
5300,5.246,26891.5,52.9994,254005.4,84840.6,61661.1,0.995,0,0
5400,5.2577,27416.6,53.0976,259310.2,85365.8,61612.4,1.0421,0,0
5500,5.2691,27943,53.1941,264624.8,85892.1,61683.9,1.0875,0,0
5600,5.2804,28470.5,53.2492,269949,86419.6,61695.7,1.1312,0,0
5700,5.2915,28999.1,53.3826,275282.6,86948.2,61707.7,1.1735,0,0
5800,5.3024,29528.8,53.4749,280625.5,87477.9,61719.9,1.2143,0,0
5900,5.3131,30059.5,53.5656,285977.5,88006.7,61732.3,1.2537,0,0
6000,5.3235,30591.4,53.655,291338.6,88540.5,61744.9,1.2918,0,0
